======================================================================
  CIFAR-10 Training: ResNet-20
======================================================================
  Epochs: 200 | Batch: 128 | LR: 0.1
  Weight Decay: 0.0005 | Optimizer: sgd
  Scheduler: CosineAnnealingLR (T_max=200)
  Early Stop: patience=25 | min_delta=0.01
----------------------------------------------------------------------
  Data: 45000 train | 5000 val
----------------------------------------------------------------------
  Model: ResNet-20 | 0.27M params | AMP: True
----------------------------------------------------------------------
Epoch: 047/200 | LR: 0.087506 | Train Loss: 0.6907 | Train Acc: 76.02% | Val Loss: 0.5813 | Val Acc: 80.08% | Best: 80.98% | Patience: 0/25 | Time: 8.6s
Epoch: 048/200 | LR: 0.086982 | Train Loss: 0.6847 | Train Acc: 76.64% | Val Loss: 0.6550 | Val Acc: 79.00% | Best: 80.98% | Patience: 1/25 | Time: 8.5s
Epoch: 049/200 | LR: 0.086448 | Train Loss: 0.6899 | Train Acc: 76.36% | Val Loss: 0.6997 | Val Acc: 77.48% | Best: 80.98% | Patience: 2/25 | Time: 10.0s
Epoch: 050/200 | LR: 0.085906 | Train Loss: 0.6801 | Train Acc: 76.55% | Val Loss: 0.5941 | Val Acc: 80.20% | Best: 80.98% | Patience: 3/25 | Time: 10.0s
Epoch: 051/200 | LR: 0.085355 | Train Loss: 0.6823 | Train Acc: 76.30% | Val Loss: 0.7974 | Val Acc: 74.12% | Best: 80.98% | Patience: 4/25 | Time: 10.0s
Epoch: 052/200 | LR: 0.084796 | Train Loss: 0.6799 | Train Acc: 76.75% | Val Loss: 0.8097 | Val Acc: 74.64% | Best: 80.98% | Patience: 5/25 | Time: 9.9s
Epoch: 053/200 | LR: 0.084227 | Train Loss: 0.6811 | Train Acc: 76.59% | Val Loss: 0.5881 | Val Acc: 80.24% | Best: 80.98% | Patience: 6/25 | Time: 9.9s
Epoch: 054/200 | LR: 0.083651 | Train Loss: 0.6777 | Train Acc: 76.71% | Val Loss: 0.6366 | Val Acc: 79.38% | Best: 80.98% | Patience: 7/25 | Time: 9.9s
Epoch: 055/200 | LR: 0.083066 | Train Loss: 0.6738 | Train Acc: 76.51% | Val Loss: 0.9617 | Val Acc: 70.04% | Best: 80.98% | Patience: 8/25 | Time: 9.9s
Epoch: 056/200 | LR: 0.082472 | Train Loss: 0.6636 | Train Acc: 76.98% | Val Loss: 0.6621 | Val Acc: 78.80% | Best: 80.98% | Patience: 9/25 | Time: 9.9s
Epoch: 057/200 | LR: 0.081871 | Train Loss: 0.6696 | Train Acc: 76.74% | Val Loss: 0.8701 | Val Acc: 74.78% | Best: 80.98% | Patience: 10/25 | Time: 9.9s
Epoch: 058/200 | LR: 0.081262 | Train Loss: 0.6728 | Train Acc: 76.72% | Val Loss: 0.7055 | Val Acc: 78.62% | Best: 80.98% | Patience: 11/25 | Time: 10.0s
Epoch: 059/200 | LR: 0.080645 | Train Loss: 0.6642 | Train Acc: 76.95% | Val Loss: 0.7801 | Val Acc: 74.66% | Best: 80.98% | Patience: 12/25 | Time: 10.1s
Epoch: 060/200 | LR: 0.080021 | Train Loss: 0.6617 | Train Acc: 77.34% | Val Loss: 0.6096 | Val Acc: 80.48% | Best: 80.98% | Patience: 13/25 | Time: 10.0s
Epoch: 061/200 | LR: 0.079389 | Train Loss: 0.6608 | Train Acc: 77.17% | Val Loss: 0.8162 | Val Acc: 73.84% | Best: 80.98% | Patience: 14/25 | Time: 10.0s
Epoch: 062/200 | LR: 0.078750 | Train Loss: 0.6584 | Train Acc: 77.34% | Val Loss: 0.5633 | Val Acc: 81.28% | Best: 81.28% * | Patience: 0/25 | Time: 10.0s
Epoch: 063/200 | LR: 0.078104 | Train Loss: 0.6603 | Train Acc: 77.50% | Val Loss: 0.7147 | Val Acc: 76.38% | Best: 81.28% | Patience: 1/25 | Time: 9.9s
Epoch: 064/200 | LR: 0.077451 | Train Loss: 0.6602 | Train Acc: 77.29% | Val Loss: 0.6492 | Val Acc: 78.80% | Best: 81.28% | Patience: 2/25 | Time: 9.9s
Epoch: 065/200 | LR: 0.076791 | Train Loss: 0.6504 | Train Acc: 77.68% | Val Loss: 0.5281 | Val Acc: 82.26% | Best: 82.26% * | Patience: 0/25 | Time: 9.8s
Epoch: 066/200 | LR: 0.076125 | Train Loss: 0.6519 | Train Acc: 77.36% | Val Loss: 0.5085 | Val Acc: 83.00% | Best: 83.00% * | Patience: 0/25 | Time: 9.8s
Epoch: 067/200 | LR: 0.075452 | Train Loss: 0.6488 | Train Acc: 77.64% | Val Loss: 0.5869 | Val Acc: 81.48% | Best: 83.00% | Patience: 1/25 | Time: 9.9s
Epoch: 068/200 | LR: 0.074773 | Train Loss: 0.6446 | Train Acc: 77.90% | Val Loss: 0.5457 | Val Acc: 82.50% | Best: 83.00% | Patience: 0/25 | Time: 9.9s
Epoch: 069/200 | LR: 0.074088 | Train Loss: 0.6501 | Train Acc: 77.43% | Val Loss: 0.5199 | Val Acc: 83.22% | Best: 83.22% * | Patience: 0/25 | Time: 9.9s
Epoch: 070/200 | LR: 0.073396 | Train Loss: 0.6467 | Train Acc: 77.69% | Val Loss: 0.5807 | Val Acc: 80.60% | Best: 83.22% | Patience: 1/25 | Time: 9.9s
Epoch: 071/200 | LR: 0.072700 | Train Loss: 0.6393 | Train Acc: 78.05% | Val Loss: 0.5621 | Val Acc: 81.08% | Best: 83.22% | Patience: 2/25 | Time: 10.0s
Epoch: 072/200 | LR: 0.071997 | Train Loss: 0.6446 | Train Acc: 77.79% | Val Loss: 0.6102 | Val Acc: 79.58% | Best: 83.22% | Patience: 3/25 | Time: 10.0s
Epoch: 073/200 | LR: 0.071289 | Train Loss: 0.6405 | Train Acc: 77.93% | Val Loss: 0.5054 | Val Acc: 83.48% | Best: 83.48% * | Patience: 0/25 | Time: 10.0s
Epoch: 074/200 | LR: 0.070576 | Train Loss: 0.6355 | Train Acc: 77.98% | Val Loss: 0.8600 | Val Acc: 71.82% | Best: 83.48% | Patience: 1/25 | Time: 10.0s
Epoch: 075/200 | LR: 0.069857 | Train Loss: 0.6292 | Train Acc: 78.25% | Val Loss: 0.6798 | Val Acc: 78.12% | Best: 83.48% | Patience: 2/25 | Time: 10.0s
Epoch: 076/200 | LR: 0.069134 | Train Loss: 0.6321 | Train Acc: 78.16% | Val Loss: 0.4812 | Val Acc: 84.00% | Best: 84.00% * | Patience: 0/25 | Time: 9.9s
Epoch: 077/200 | LR: 0.068406 | Train Loss: 0.6292 | Train Acc: 78.34% | Val Loss: 0.6369 | Val Acc: 80.22% | Best: 84.00% | Patience: 1/25 | Time: 9.9s
Epoch: 078/200 | LR: 0.067674 | Train Loss: 0.6226 | Train Acc: 78.52% | Val Loss: 0.5428 | Val Acc: 81.98% | Best: 84.00% | Patience: 0/25 | Time: 9.9s
Epoch: 079/200 | LR: 0.066937 | Train Loss: 0.6235 | Train Acc: 78.50% | Val Loss: 0.6160 | Val Acc: 80.18% | Best: 84.00% | Patience: 1/25 | Time: 9.9s
Epoch: 080/200 | LR: 0.066196 | Train Loss: 0.6211 | Train Acc: 78.48% | Val Loss: 0.6632 | Val Acc: 79.08% | Best: 84.00% | Patience: 2/25 | Time: 9.9s
Epoch: 081/200 | LR: 0.065451 | Train Loss: 0.6193 | Train Acc: 78.75% | Val Loss: 0.4724 | Val Acc: 84.74% | Best: 84.74% * | Patience: 0/25 | Time: 9.9s
Epoch: 082/200 | LR: 0.064702 | Train Loss: 0.6125 | Train Acc: 78.76% | Val Loss: 0.5867 | Val Acc: 79.42% | Best: 84.74% | Patience: 1/25 | Time: 9.9s
Epoch: 083/200 | LR: 0.063950 | Train Loss: 0.6121 | Train Acc: 78.93% | Val Loss: 0.5368 | Val Acc: 82.22% | Best: 84.74% | Patience: 0/25 | Time: 10.0s
Epoch: 084/200 | LR: 0.063194 | Train Loss: 0.6120 | Train Acc: 78.96% | Val Loss: 0.5836 | Val Acc: 80.30% | Best: 84.74% | Patience: 1/25 | Time: 9.9s
Epoch: 085/200 | LR: 0.062434 | Train Loss: 0.6162 | Train Acc: 78.82% | Val Loss: 0.5182 | Val Acc: 83.46% | Best: 84.74% | Patience: 0/25 | Time: 9.9s
